id,phase,track,required,conditional_on,severity,title,requirement,evidence_required,initial_status
V06-S00-001,S00,DEVELOPMENT,true,,CRITICAL,Task package integrity,The extracted task package passes scripts/verify_task_package.py and its external ZIP SHA-256 is recorded.,command|hash,NOT_RUN
V06-S00-002,S00,DEVELOPMENT,true,,CRITICAL,Clean source intake,"The original worktree status, uncommitted changes and untracked files are captured before mutation; existing user work is preserved.",git-status|report,NOT_RUN
V06-S00-003,S00,DEVELOPMENT,true,,CRITICAL,v0.5-capable base selected,"The selected SACS base contains the v0.5 analysis contracts, persistence, pump, AG-UI v0.3, fixture adapter and progressive verification.",git-sha|inventory|tests,NOT_RUN
V06-S00-004,S00,DEVELOPMENT,true,,CRITICAL,Exact SACS source lock,"SOURCE_LOCK records the exact SACS repository, base branch, commit SHA and tree cleanliness.",source-lock,NOT_RUN
V06-S00-005,S00,DEVELOPMENT,true,,CRITICAL,Exact WSGS source lock,SOURCE_LOCK records WSGS main and any selected handoff branch SHA without assuming the package-generation observation is current.,source-lock,NOT_RUN
V06-S00-006,S00,DEVELOPMENT,true,,CRITICAL,WSGS 1.1 artifact verification,The authoritative WSGS 1.1 release lock and every consumed schema artifact are verified from raw bytes and SHA-256.,artifact-hashes|command,NOT_RUN
V06-S00-007,S00,DEVELOPMENT,true,,MAJOR,Safe feature branch,Work occurs on codex/sacs-v0.6-wsgs-full-functional-integration or a non-destructive equivalent; no published history is rewritten.,git-branch|git-log,NOT_RUN
V06-S00-008,S00,DEVELOPMENT,true,,MAJOR,Initial acceptance ledger,Every acceptance row is present exactly once and initialized to NOT_RUN or NOT_REQUESTED as specified.,ledger-validation,NOT_RUN
V06-S00-009,S00,DEVELOPMENT,true,,MAJOR,Product-boundary reconciliation,Root AGENTS/Codex guidance is updated so existing AG-UI/WSGS responsibilities are not contradicted while SDAR boundaries remain intact.,diff|review,NOT_RUN
V06-S00-010,S00,DEVELOPMENT,true,,CRITICAL,Baseline verification,"The selected source passes the available v0.5 focused, typecheck, migration and architecture baseline or failures are explicitly recorded before implementation.",commands|exit-codes,NOT_RUN
V06-S01-001,S01,DEVELOPMENT,true,,CRITICAL,Analysis source mode contract,"A strict source-mode contract distinguishes WSGS_GROUNDING_JOB, WSGS_NATIVE_ANALYSIS, FIXTURE and read-only LEGACY_PLAN.",contract-test|code,NOT_RUN
V06-S01-002,S01,DEVELOPMENT,true,,CRITICAL,Truthful source identity union,Source identity uses source kind/id/hash and optional source revision/run identity; Grounding IDs are not typed as plan IDs.,contract-test|code-review,NOT_RUN
V06-S01-003,S01,DEVELOPMENT,true,,MAJOR,Source adapter interface,A single AnalysisSourceAdapter contract covers start/get/observe/cancel/revise/resolveChoice without hiding transport truth.,contract-test|api-review,NOT_RUN
V06-S01-004,S01,DEVELOPMENT,true,,CRITICAL,Existing native behavior preserved,The five existing Native WSGS analysis ports remain available behind the new abstraction and retain fail-closed authorization.,regression-test,NOT_RUN
V06-S01-005,S01,DEVELOPMENT,true,,CRITICAL,Fixture behavior preserved,The fixture adapter implements the new abstraction without becoming production eligible.,unit-test|production-negative,NOT_RUN
V06-S01-006,S01,DEVELOPMENT,true,,CRITICAL,LEGACY_PLAN read compatibility,Migrated v0.5 rows can be read as LEGACY_PLAN without fabricated authority.,postgres-test,NOT_RUN
