id,required,phase,area,scenario,expected,evidence
AC-B001,yes,S13,Baseline,SACS source fetch,Actual main/PR15 head recorded,SOURCE_LOCK/GIT/CI
AC-B002,yes,S13,Baseline,PR15 state,Open/merged/draft/CI state recorded,SOURCE_LOCK/GIT/CI
AC-B003,yes,S13,Baseline,Correct base,Stacked base selected without rewriting PR15,SOURCE_LOCK/GIT/CI
AC-B004,yes,S13,Baseline,New branch,Dedicated geospatial explanation branch used,SOURCE_LOCK/GIT/CI
AC-B005,yes,S13,Baseline,WSGS source fetch,Actual descriptor-driven branch/PR recorded,SOURCE_LOCK/GIT/CI
AC-B006,yes,S13,Baseline,WSGS handoff state,Readiness and blockers recorded,SOURCE_LOCK/GIT/CI
AC-B007,yes,S13,Baseline,GDPS source fetch,Actual v0.2/main/v0.2.1 state recorded,SOURCE_LOCK/GIT/CI
AC-B008,yes,S13,Baseline,GOWM source fetch,Actual main and binding source recorded,SOURCE_LOCK/GIT/CI
AC-B009,yes,S13,Baseline,Running environment discovery,Actual WSGS/GOWM/GDPS availability recorded,SOURCE_LOCK/GIT/CI
AC-B010,yes,S13,Baseline,SACS software version,Remains 0.4.0 unless repository convention requires exact equivalent,SOURCE_LOCK/GIT/CI
AC-B011,yes,S13,Baseline,Existing package inventory,Grounding/focus/fusion modules inventoried,SOURCE_LOCK/GIT/CI
AC-B012,yes,S13,Baseline,Existing migrations,0010-0012 present and append-only,SOURCE_LOCK/GIT/CI
AC-B013,yes,S13,Baseline,Existing CI,Latest base CI result recorded,SOURCE_LOCK/GIT/CI
AC-B014,yes,S13,Baseline,Project status reconciliation,Stale S00-S05 statement corrected,SOURCE_LOCK/GIT/CI
AC-B015,yes,S13,Baseline,Phase manifest reconciliation,Completed base markers retained,SOURCE_LOCK/GIT/CI
AC-B016,yes,S13,Baseline,No duplicate grounding runtime,Existing runtime reused,SOURCE_LOCK/GIT/CI
AC-B017,yes,S13,Baseline,No PR15 feature pollution,New implementation absent from PR15,SOURCE_LOCK/GIT/CI
AC-B018,yes,S13,Baseline,No force push,Shared history preserved,SOURCE_LOCK/GIT/CI
AC-B019,yes,S13,Baseline,No merge/tag/release/deploy,Protected actions absent,SOURCE_LOCK/GIT/CI
AC-B020,yes,S13,Baseline,Source lock report,Four exact SHAs and PR states emitted,SOURCE_LOCK/GIT/CI
AC-B021,yes,S13,Baseline,Baseline tests,Base regression runs before feature changes,SOURCE_LOCK/GIT/CI
AC-B022,yes,S13,Baseline,S13 marker,Marker emitted only after evidence,SOURCE_LOCK/GIT/CI
AC-U001,yes,S14,UpstreamIntake,Authoritative handoff discovered,WSGS-owned artifact bundle found or precise blocker,SCHEMA/STATIC/UPSTREAM_LOCK
AC-U002,yes,S14,UpstreamIntake,Bundle checksums,All handoff bytes match CHECKSUMS,SCHEMA/STATIC/UPSTREAM_LOCK
AC-U003,yes,S14,UpstreamIntake,WSGS SHA,Consumer lock SHA matches actual candidate,SCHEMA/STATIC/UPSTREAM_LOCK
AC-U004,yes,S14,UpstreamIntake,GOWM SHA/fingerprint,Upstream provenance matches running authority,SCHEMA/STATIC/UPSTREAM_LOCK
AC-U005,yes,S14,UpstreamIntake,GDPS SHA/fingerprint,Upstream provenance matches current product provider,SCHEMA/STATIC/UPSTREAM_LOCK
AC-U006,yes,S14,UpstreamIntake,Grounding contract version,Exact declared contract accepted,SCHEMA/STATIC/UPSTREAM_LOCK
AC-U007,yes,S14,UpstreamIntake,Capabilities schema hash,Exact hash validated,SCHEMA/STATIC/UPSTREAM_LOCK
AC-U008,yes,S14,UpstreamIntake,Result schema hash,Exact hash validated,SCHEMA/STATIC/UPSTREAM_LOCK
