id,required,track,phase,area,scenario,expected,evidence
AC-C00-001,yes,GLOBAL,C00,Reconciliation,SACS main,Actual SHA recorded,SOURCE/GIT/CI
AC-C00-002,yes,GLOBAL,C00,Reconciliation,PR15 state,Actual state/base/head/CI recorded,SOURCE/GIT/CI
AC-C00-003,yes,GLOBAL,C00,Reconciliation,v0.4 geospatial branch,Actual remote head recorded,SOURCE/GIT/CI
AC-C00-004,yes,GLOBAL,C00,Reconciliation,v0.4 compare,Ahead/behind and file delta recorded,SOURCE/GIT/CI
AC-C00-005,yes,GLOBAL,C00,Reconciliation,v0.4 PR search,Actual PR presence/absence recorded,SOURCE/GIT/CI
AC-C00-006,yes,GLOBAL,C00,Reconciliation,v0.4 CI,Exact-head workflow/status recorded,SOURCE/GIT/CI
AC-C00-007,yes,GLOBAL,C00,Reconciliation,v0.5 branch search,Actual remote presence/absence recorded,SOURCE/GIT/CI
AC-C00-008,yes,GLOBAL,C00,Reconciliation,WSGS PR6,Actual head/state/body drift recorded,SOURCE/GIT/CI
AC-C00-009,yes,GLOBAL,C00,Reconciliation,GDPS main,Actual v0.2 ancestry recorded,SOURCE/GIT/CI
AC-C00-010,yes,GLOBAL,C00,Reconciliation,GOWM main,Actual currentness repair ancestry recorded,SOURCE/GIT/CI
AC-C00-011,yes,GLOBAL,C00,Reconciliation,Migration chain,Actual next migration discovered,SOURCE/GIT/CI
AC-C00-012,yes,GLOBAL,C00,Reconciliation,Implementation matrix,Every feature classified,SOURCE/GIT/CI
AC-C00-013,yes,GLOBAL,C00,Reconciliation,Stale report detection,Remote/local statement conflicts listed,SOURCE/GIT/CI
AC-C00-014,yes,GLOBAL,C00,Reconciliation,Running environment,Actual service availability discovered,SOURCE/GIT/CI
AC-C00-015,yes,GLOBAL,C00,Reconciliation,No protected action,No merge/tag/release/deploy,SOURCE/GIT/CI
AC-V4-PRESERVE-001,yes,V0_4,C01,Implemented,WorldExplanation contract,Existing implementation remains source-compatible and its regression passes,SOURCE/UNIT/REAL_POSTGRES
AC-V4-PRESERVE-002,yes,V0_4,C01,Implemented,Canonical explanation hash,Existing implementation remains source-compatible and its regression passes,SOURCE/UNIT/REAL_POSTGRES
AC-V4-PRESERVE-003,yes,V0_4,C01,Implemented,Strict finding normalizer,Existing implementation remains source-compatible and its regression passes,SOURCE/UNIT/REAL_POSTGRES
AC-V4-PRESERVE-004,yes,V0_4,C01,Implemented,Unknown schema fail-closed,Existing implementation remains source-compatible and its regression passes,SOURCE/UNIT/REAL_POSTGRES
AC-V4-PRESERVE-005,yes,V0_4,C01,Implemented,Deterministic Chinese renderer,Existing implementation remains source-compatible and its regression passes,SOURCE/UNIT/REAL_POSTGRES
AC-V4-PRESERVE-006,yes,V0_4,C01,Implemented,Deterministic English renderer,Existing implementation remains source-compatible and its regression passes,SOURCE/UNIT/REAL_POSTGRES
AC-V4-PRESERVE-007,yes,V0_4,C01,Implemented,OpenAI projection,Existing implementation remains source-compatible and its regression passes,SOURCE/UNIT/REAL_POSTGRES
AC-V4-PRESERVE-008,yes,V0_4,C01,Implemented,AG-UI projection,Existing implementation remains source-compatible and its regression passes,SOURCE/UNIT/REAL_POSTGRES
AC-V4-PRESERVE-009,yes,V0_4,C01,Implemented,Map projection,Existing implementation remains source-compatible and its regression passes,SOURCE/UNIT/REAL_POSTGRES
AC-V4-PRESERVE-010,yes,V0_4,C01,Implemented,Source product projection,Existing implementation remains source-compatible and its regression passes,SOURCE/UNIT/REAL_POSTGRES
AC-V4-PRESERVE-011,yes,V0_4,C01,Implemented,Migration 0013,Existing implementation remains source-compatible and its regression passes,SOURCE/UNIT/REAL_POSTGRES
AC-V4-PRESERVE-012,yes,V0_4,C01,Implemented,World explanation repository,Existing implementation remains source-compatible and its regression passes,SOURCE/UNIT/REAL_POSTGRES
AC-V4-PRESERVE-013,yes,V0_4,C01,Implemented,Exact replay key,Existing implementation remains source-compatible and its regression passes,SOURCE/UNIT/REAL_POSTGRES
AC-V4-PRESERVE-014,yes,V0_4,C01,Implemented,Physical PostgreSQL restart replay,Existing implementation remains source-compatible and its regression passes,SOURCE/UNIT/REAL_POSTGRES
AC-V4-PRESERVE-015,yes,V0_4,C01,Implemented,Gap policy,Existing implementation remains source-compatible and its regression passes,SOURCE/UNIT/REAL_POSTGRES
AC-V4-PRESERVE-016,yes,V0_4,C01,Implemented,Currentness policy,Existing implementation remains source-compatible and its regression passes,SOURCE/UNIT/REAL_POSTGRES
AC-V4-PRESERVE-017,yes,V0_4,C01,Implemented,Finding reference resolver,Existing implementation remains source-compatible and its regression passes,SOURCE/UNIT/REAL_POSTGRES
AC-V4-PRESERVE-018,yes,V0_4,C01,Implemented,Map selection validator,Existing implementation remains source-compatible and its regression passes,SOURCE/UNIT/REAL_POSTGRES
AC-V4-PRESERVE-019,yes,V0_4,C01,Implemented,Conversation world focus extension,Existing implementation remains source-compatible and its regression passes,SOURCE/UNIT/REAL_POSTGRES
AC-V4-PRESERVE-020,yes,V0_4,C01,Implemented,Authority Fusion boundary,Existing implementation remains source-compatible and its regression passes,SOURCE/UNIT/REAL_POSTGRES
AC-V4-PRESERVE-021,yes,V0_4,C01,Implemented,Architecture guard,Existing implementation remains source-compatible and its regression passes,SOURCE/UNIT/REAL_POSTGRES
AC-V4-PRESERVE-022,yes,V0_4,C01,Implemented,Secret guard,Existing implementation remains source-compatible and its regression passes,SOURCE/UNIT/REAL_POSTGRES
AC-V4-DELIVERY-001,yes,V0_4,C01,Delivery,Remote branch truth,Reports no longer claim branch is local-only,GIT/CI
AC-V4-DELIVERY-002,yes,V0_4,C01,Delivery,Exact local/tracking/remote SHA,All equal,GIT/CI
AC-V4-DELIVERY-003,yes,V0_4,C01,Delivery,Stacked PR,Created with correct base,GIT/CI
AC-V4-DELIVERY-004,yes,V0_4,C01,Delivery,PR description,Truthful implemented/blocker summary,GIT/CI
AC-V4-DELIVERY-005,yes,V0_4,C01,Delivery,Hosted push CI,Exact head passes,GIT/CI
AC-V4-DELIVERY-006,yes,V0_4,C01,Delivery,Hosted PR CI,Exact head passes,GIT/CI
AC-V4-DELIVERY-007,yes,V0_4,C01,Delivery,Migration gate,0013 contiguous,GIT/CI
AC-V4-DELIVERY-008,yes,V0_4,C01,Delivery,Architecture gate,Pass,GIT/CI
AC-V4-DELIVERY-009,yes,V0_4,C01,Delivery,Secret gate,Pass,GIT/CI
AC-V4-DELIVERY-010,yes,V0_4,C01,Delivery,Container gate,Pass,GIT/CI
AC-V4-DELIVERY-011,yes,V0_4,C01,Delivery,Compose gate,Pass when real upstream available,GIT/CI
AC-V4-DELIVERY-012,yes,V0_4,C01,Delivery,No merge,PR remains user-controlled,GIT/CI
AC-V4-HANDOFF-001,yes,V0_4,C02,WSGSHandoff,Consumer bundle,Authoritative WSGS bundle present,UPSTREAM_LOCK/CONTRACT
AC-V4-HANDOFF-002,yes,V0_4,C02,WSGSHandoff,Checksums,All bytes verified,UPSTREAM_LOCK/CONTRACT
AC-V4-HANDOFF-003,yes,V0_4,C02,WSGSHandoff,WSGS SHA,Matches actual runtime/candidate,UPSTREAM_LOCK/CONTRACT
AC-V4-HANDOFF-004,yes,V0_4,C02,WSGSHandoff,Result schema hash,Matches,UPSTREAM_LOCK/CONTRACT
AC-V4-HANDOFF-005,yes,V0_4,C02,WSGSHandoff,WorldFinding hash,Matches,UPSTREAM_LOCK/CONTRACT
AC-V4-HANDOFF-006,yes,V0_4,C02,WSGSHandoff,SourceProduct hash,Matches,UPSTREAM_LOCK/CONTRACT
AC-V4-HANDOFF-007,yes,V0_4,C02,WSGSHandoff,TypedGap hash,Matches,UPSTREAM_LOCK/CONTRACT
AC-V4-HANDOFF-008,yes,V0_4,C02,WSGSHandoff,Transport mode,Explicit,UPSTREAM_LOCK/CONTRACT
AC-V4-HANDOFF-009,yes,V0_4,C02,WSGSHandoff,Currentness mode,Explicit,UPSTREAM_LOCK/CONTRACT
AC-V4-HANDOFF-010,yes,V0_4,C02,WSGSHandoff,GOWM provenance,Locked,UPSTREAM_LOCK/CONTRACT
AC-V4-HANDOFF-011,yes,V0_4,C02,WSGSHandoff,GDPS provenance,Locked,UPSTREAM_LOCK/CONTRACT
AC-V4-HANDOFF-012,yes,V0_4,C02,WSGSHandoff,No provisional promotion,Provisional lock cannot become READY,UPSTREAM_LOCK/CONTRACT
AC-V4-HANDOFF-013,yes,V0_4,C02,WSGSHandoff,Generated consumer,No drift,UPSTREAM_LOCK/CONTRACT
AC-V4-HANDOFF-014,yes,V0_4,C02,WSGSHandoff,Adapter capability check,Lock-driven,UPSTREAM_LOCK/CONTRACT
AC-V4-SELECT-001,yes,V0_4,C03,Selection,Finding selection schema,Stable identity required,CONTRACT/REAL_POSTGRES/REAL_WSGS
AC-V4-SELECT-002,yes,V0_4,C03,Selection,Map selection schema,Stable identity required,CONTRACT/REAL_POSTGRES/REAL_WSGS
AC-V4-SELECT-003,yes,V0_4,C03,Selection,Reference-set selection,Stable identity required,CONTRACT/REAL_POSTGRES/REAL_WSGS
AC-V4-SELECT-004,yes,V0_4,C03,Selection,Principal ownership,Enforced,CONTRACT/REAL_POSTGRES/REAL_WSGS
AC-V4-SELECT-005,yes,V0_4,C03,Selection,Thread ownership,Enforced,CONTRACT/REAL_POSTGRES/REAL_WSGS
AC-V4-SELECT-006,yes,V0_4,C03,Selection,Grounding identity,Enforced,CONTRACT/REAL_POSTGRES/REAL_WSGS
AC-V4-SELECT-007,yes,V0_4,C03,Selection,Explanation identity,Enforced,CONTRACT/REAL_POSTGRES/REAL_WSGS
AC-V4-SELECT-008,yes,V0_4,C03,Selection,Finding/source hash,Enforced,CONTRACT/REAL_POSTGRES/REAL_WSGS
AC-V4-SELECT-009,yes,V0_4,C03,Selection,Selection revision,CAS,CONTRACT/REAL_POSTGRES/REAL_WSGS
AC-V4-SELECT-010,yes,V0_4,C03,Selection,Selection expiry,Enforced,CONTRACT/REAL_POSTGRES/REAL_WSGS
AC-V4-SELECT-011,yes,V0_4,C03,Selection,ReferenceKey path,Accepted,CONTRACT/REAL_POSTGRES/REAL_WSGS
AC-V4-SELECT-012,yes,V0_4,C03,Selection,Upstream selection token,Accepted,CONTRACT/REAL_POSTGRES/REAL_WSGS
AC-V4-SELECT-013,yes,V0_4,C03,Selection,Bare ordinal,Rejected as durable identity,CONTRACT/REAL_POSTGRES/REAL_WSGS
AC-V4-SELECT-014,yes,V0_4,C03,Selection,Cross-thread selection,Non-disclosure,CONTRACT/REAL_POSTGRES/REAL_WSGS
AC-V4-SELECT-015,yes,V0_4,C03,Selection,Cross-principal selection,Non-disclosure,CONTRACT/REAL_POSTGRES/REAL_WSGS
AC-V4-SELECT-016,yes,V0_4,C03,Selection,Stale selection,Revalidate or reject,CONTRACT/REAL_POSTGRES/REAL_WSGS
AC-V4-GAP-001,yes,V0_4,C04,GapCurrentness,normal completed,Real WSGS evidence maps to exact SACS explanation semantics,REAL_WSGS/RUNNING_GOWM/REAL_GDPS
AC-V4-GAP-002,yes,V0_4,C04,GapCurrentness,completed empty,Real WSGS evidence maps to exact SACS explanation semantics,REAL_WSGS/RUNNING_GOWM/REAL_GDPS
AC-V4-GAP-003,yes,V0_4,C04,GapCurrentness,data gap,Real WSGS evidence maps to exact SACS explanation semantics,REAL_WSGS/RUNNING_GOWM/REAL_GDPS
AC-V4-GAP-004,yes,V0_4,C04,GapCurrentness,coverage gap,Real WSGS evidence maps to exact SACS explanation semantics,REAL_WSGS/RUNNING_GOWM/REAL_GDPS
AC-V4-GAP-005,yes,V0_4,C04,GapCurrentness,capability gap,Real WSGS evidence maps to exact SACS explanation semantics,REAL_WSGS/RUNNING_GOWM/REAL_GDPS
AC-V4-GAP-006,yes,V0_4,C04,GapCurrentness,reference ambiguity,Real WSGS evidence maps to exact SACS explanation semantics,REAL_WSGS/RUNNING_GOWM/REAL_GDPS
