id,required,phase,area,scenario,expected,evidence
AC-A00-001,yes,A00,Baseline,SACS source reconciliation,Actual main/base/PR head recorded,SOURCE_LOCK
AC-A00-002,yes,A00,Baseline,v0.4 World Grounding,Base ancestry proven,SOURCE_LOCK
AC-A00-003,yes,A00,Prerequisite,v0.4 Geospatial Explanation,Completed branch/merge found or precise blocker,SOURCE_LOCK
AC-A00-004,yes,A00,Baseline,WSGS source,Actual PR/head/state recorded,SOURCE_LOCK
AC-A00-005,yes,A00,Baseline,GDPS source,Actual merged v0.2/main recorded,SOURCE_LOCK
AC-A00-006,yes,A00,Baseline,GOWM source,Main and repair PR state recorded,SOURCE_LOCK
AC-A00-007,yes,A00,Environment,Running environment,Actual WSGS/GOWM/GDPS availability recorded,LIVE_DISCOVERY
AC-A00-008,yes,A00,AGUI,AG-UI core version,Exact installed version recorded,CONTRACT
AC-A00-009,yes,A00,AGUI,AG-UI client version,Exact installed version recorded,CONTRACT
AC-A00-010,yes,A00,AGUI,AG-UI encoder version,Exact installed version recorded,CONTRACT
AC-A00-011,yes,A00,AGUI,AG-UI Step schema,Actual package accepts required events,CONTRACT
AC-A00-012,yes,A00,AGUI,AG-UI ToolCall schema,Actual package accepts required events,CONTRACT
AC-A00-013,yes,A00,AGUI,AG-UI Interrupt schema,Actual package accepts required contract,CONTRACT
AC-A00-014,yes,A00,AGUI,AG-UI Resume schema,Actual package accepts required contract,CONTRACT
AC-A00-015,yes,A00,Regression,AG-UI v0.2 regression,Official client baseline passes,AGUI_OFFICIAL_CLIENT
AC-A00-016,yes,A00,Database,Migration inventory,Actual next append-only migration selected,STATIC_GUARD
AC-A00-017,yes,A00,Delivery,Stacked branch,Correct base selected,GIT
AC-A00-018,yes,A00,Delivery,No PR15 pollution,v0.5 not added to PR15,GIT
AC-A00-019,yes,A00,Delivery,No force push,Shared history preserved,GIT
AC-A00-020,yes,A00,Evidence,A00 report,Machine-readable source/prerequisite report,REPORT_ASSERTION
AC-A01-001,yes,A01,Handoff,Consumer lock checksum,Authoritative WSGS bundle verifies,UPSTREAM_LOCK
AC-A01-002,yes,A01,Handoff,WSGS SHA,Lock matches actual WSGS candidate,UPSTREAM_LOCK
AC-A01-003,yes,A01,Handoff,Plan schema,Exact bytes/hash validated,SCHEMA
AC-A01-004,yes,A01,Handoff,Event schema,Exact bytes/hash validated,SCHEMA
AC-A01-005,yes,A01,Handoff,Tool interaction schema,Exact bytes/hash validated,SCHEMA
AC-A01-006,yes,A01,Handoff,Revision compile schema,Exact bytes/hash validated,SCHEMA
AC-A01-007,yes,A01,Handoff,Cancel schema,Exact bytes/hash validated,SCHEMA
AC-A01-008,yes,A01,Handoff,Intervention schema,Exact bytes/hash validated,SCHEMA
AC-A01-009,yes,A01,Handoff,Transport mode,Streaming or polling explicitly declared,CONTRACT
AC-A01-010,yes,A01,Events,Sequence semantics,Monotonic and idempotent semantics declared,CONTRACT
AC-A01-011,yes,A01,Events,Recovery semantics,Snapshot/live behavior declared,CONTRACT
AC-A01-012,yes,A01,Contracts,Generated TypeScript,No hand-written drift,STATIC_GUARD
AC-A01-013,yes,A01,Contracts,Generate --check,Generated outputs stable,STATIC_GUARD
AC-A01-014,yes,A01,Architecture,No route guessing,Endpoints come from lock,STATIC_GUARD
AC-A01-015,yes,A01,Safety,Missing handoff,Fail-closed blocker,UNIT
AC-A01-016,yes,A01,Architecture,No inferred tool calls,Final evidence cannot fabricate process,STATIC_GUARD
AC-A01-017,yes,A01,Events,Unknown event type,No fake progress,UNIT
AC-A01-018,yes,A01,Events,Duplicate exact event,Idempotent,UNIT
AC-A01-019,yes,A01,Events,Sequence collision,Protocol failure,UNIT
AC-A01-020,yes,A01,Events,Old plan event,Cannot mutate active revision,UNIT
AC-A02-001,yes,A02,Lifecycle,Session contract,Ownership/autonomy/status typed,SCHEMA
AC-A02-002,yes,A02,Lifecycle,Revision contract,Immutable plan definition typed,SCHEMA
AC-A02-003,yes,A02,Lifecycle,Run contract,Attempt/lineage typed,SCHEMA
AC-A02-004,yes,A02,Lifecycle,Node contract,Three status axes typed,SCHEMA
AC-A02-005,yes,A02,Lifecycle,Analysis event contract,Sequence/hash typed,SCHEMA
AC-A02-006,yes,A02,Lifecycle,Projection contract,State/activity revision typed,SCHEMA
AC-A02-007,yes,A02,Lifecycle,Proposal contract,CAS/idempotency/edit typed,SCHEMA
AC-A02-008,yes,A02,Lifecycle,Intervention contract,Interrupt/request/response typed,SCHEMA
AC-A02-009,yes,A02,Database,Revision number uniqueness,Unique per analysis,REAL_POSTGRES
AC-A02-010,yes,A02,Database,Run attempt uniqueness,Unique per revision,REAL_POSTGRES
AC-A02-011,yes,A02,Revision,Node set disjointness,Reuse/invalidate/rerun overlap rejected,UNIT
AC-A02-012,yes,A02,Revision,Parent plan hash,Mismatch rejected,UNIT
AC-A02-013,yes,A02,Lifecycle,Retry semantics,"Retry creates Run, not Revision",UNIT
AC-A02-014,yes,A02,Lifecycle,Input change semantics,Creates immutable Revision,UNIT
AC-A02-015,yes,A02,Lifecycle,Default Observer,New session defaults to OBSERVER,UNIT
AC-A02-016,yes,A02,Lifecycle,Archived analysis,Cannot accept proposal,UNIT
AC-A02-017,yes,A02,Lifecycle,Analysis ownership,Principal/thread bound,SECURITY
AC-A02-018,yes,A02,Integrity,Canonical hashes,Plan/state/event hashes deterministic,UNIT
AC-A03-001,yes,A03,Persistence,Append-only events,No event update/delete path,STATIC_GUARD
AC-A03-002,yes,A03,Persistence,Event ID unique,Exact duplicate safe,REAL_POSTGRES
AC-A03-003,yes,A03,Persistence,Analysis sequence primary key,Ordering durable,REAL_POSTGRES
AC-A03-004,yes,A03,Persistence,Upstream sequence unique,Duplicate collision detected,REAL_POSTGRES
AC-A03-005,yes,A03,Persistence,Projection row,State/activity snapshots durable,REAL_POSTGRES
AC-A03-006,yes,A03,Persistence,Persist before publish,Commit precedes AG-UI emission,INTEGRATION
AC-A03-007,yes,A03,Persistence,Atomic event+projection,Same transaction,REAL_POSTGRES
AC-A03-008,yes,A03,Persistence,CAS active revision,Stale switch conflicts,REAL_POSTGRES
AC-A03-009,yes,A03,Recovery,SACS restart,Projection restored,REAL_POSTGRES
AC-A03-010,yes,A03,Recovery,Browser reconnect,Snapshot created from projection,INTEGRATION
AC-A03-011,yes,A03,Ordering,Late event audit,Stored without active mutation,REAL_POSTGRES
AC-A03-012,yes,A03,Limits,Projection size limit,Fail closed,SECURITY
AC-A03-013,yes,A03,Integrity,State hash,Canonical deterministic,UNIT
AC-A03-014,yes,A03,Integrity,Activity hash,Canonical deterministic,UNIT
AC-A03-015,yes,A03,Database,Migration upgrade,Existing schema upgrades append-only,REAL_POSTGRES
AC-A03-016,yes,A03,Database,Migration replay,Checksums stable,REAL_POSTGRES
AC-A04-001,yes,A04,Policy,Read-only clear,AUTO_CONTINUE,UNIT
AC-A04-002,yes,A04,Policy,Read-only long,NOTIFY_ONLY,UNIT
AC-A04-003,yes,A04,Policy,User suggestion,QUEUE_REVISION,UNIT
AC-A04-004,yes,A04,Policy,Reference ambiguity,INTERRUPT_REQUIRED,UNIT
AC-A04-005,yes,A04,Policy,Product ambiguity,INTERRUPT_REQUIRED,UNIT
AC-A04-006,yes,A04,Policy,Permission requirement,INTERRUPT_REQUIRED,UNIT
AC-A04-007,yes,A04,Policy,Budget approval,INTERRUPT_REQUIRED,UNIT
AC-A04-008,yes,A04,Policy,Controlled operation,INTERRUPT_REQUIRED,UNIT
AC-A04-009,yes,A04,Policy,Irreversible operation,INTERRUPT_REQUIRED,UNIT
AC-A04-010,yes,A04,Policy,Explicit stop/change,INTERRUPT_REQUIRED,UNIT
AC-A04-011,yes,A04,Policy,Data gap,AUTO_CONTINUE terminal explanation,UNIT
AC-A04-012,yes,A04,Policy,Coverage gap,AUTO_CONTINUE terminal explanation,UNIT
AC-A04-013,yes,A04,Policy,Capability gap,AUTO_CONTINUE terminal explanation,UNIT
AC-A04-014,yes,A04,Policy,Policy priority,Security/risk overrides convenience,UNIT
AC-A04-015,yes,A04,Policy,Policy deterministic,Same input same decision/hash,UNIT
AC-A04-016,yes,A04,Policy,Decision persistence,Policy evidence stored,REAL_POSTGRES
AC-A04-017,yes,A04,Policy,No per-tool approval default,Observer invariant,STATIC_GUARD
AC-A04-018,yes,A04,Policy,Unattended completion,Zero interrupts,REAL_CHAIN
AC-A05-001,yes,A05,Compatibility,v0.2 capability unchanged,Old client remains valid,AGUI_OFFICIAL_CLIENT
AC-A05-002,yes,A05,AGUI,v0.3 profile negotiation,Explicit client request,CONTRACT
AC-A05-003,yes,A05,AGUI,Unknown profile,Fail or deterministic fallback,CONTRACT
AC-A05-004,yes,A05,AGUI,RUN mapping,Lifecycle correct,UNIT
AC-A05-005,yes,A05,AGUI,STEP mapping,Phase lifecycle correct,UNIT
AC-A05-006,yes,A05,AGUI,ToolCall lifecycle,Start/args/end/result correlated,UNIT
AC-A05-007,yes,A05,AGUI,Tool public args only,No execution secrets,SECURITY
AC-A05-008,yes,A05,AGUI,Activity snapshot,Full DAG,UNIT
AC-A05-009,yes,A05,AGUI,Activity delta,Node update only,UNIT
AC-A05-010,yes,A05,AGUI,State snapshot,Full v0.3 state,UNIT
AC-A05-011,yes,A05,AGUI,State delta,RFC6902 revision guard,UNIT
AC-A05-012,yes,A05,AGUI,Delta conflict,Triggers snapshot refresh,REFERENCE_CLIENT
AC-A05-013,yes,A05,AGUI,Tool result summary,Bounded IDs/summary,SECURITY
AC-A05-014,yes,A05,AGUI,Full geometry excluded from tool result,Map state only,SECURITY
AC-A05-015,yes,A05,AGUI,Interrupt snapshots first,Recoverable state,AGUI_OFFICIAL_CLIENT
AC-A05-016,yes,A05,AGUI,Text after explanation,Shared explanation identity,INTEGRATION
AC-A05-017,yes,A05,AGUI,resumable false,No false capability claim,CONTRACT
AC-A05-018,yes,A05,AGUI,v0.2/v0.3 stream isolation,No event leakage,AGUI_OFFICIAL_CLIENT
AC-A06-001,yes,A06,Map,Inline GeoJSON,Small safe geometry,UNIT
AC-A06-002,yes,A06,Map,Reference Set,Stable references,UNIT
AC-A06-003,yes,A06,Map,Payload Reference,Opaque payload ref,UNIT
AC-A06-004,yes,A06,Map,Base context layer,Role correct,UNIT
AC-A06-005,yes,A06,Map,Task context layer,Role correct,UNIT
AC-A06-006,yes,A06,Map,Query input layer,Role correct,UNIT
AC-A06-007,yes,A06,Map,Tool scope layer,Role correct,UNIT
AC-A06-008,yes,A06,Map,Intermediate layer,Role correct,UNIT
AC-A06-009,yes,A06,Map,Final finding layer,Role correct,UNIT
AC-A06-010,yes,A06,Map,Focus layer,Role correct,UNIT
AC-A06-011,yes,A06,Map,Gap layer,Role correct,UNIT
AC-A06-012,yes,A06,Focus,Execution focus,System-driven,UNIT
AC-A06-013,yes,A06,Focus,Inspection focus local,Click produces no server mutation,REFERENCE_CLIENT
